=========================================
SLURM_JOB_ID = 18034
SLURM_JOB_NODELIST = node20-100
SLURM_CPUS_ON_NODE = 1
SLURM_JOB_PARTITION = RT
SLURM_TASK_PID = 287037
==========================================
RMS: 0.000656721 (valid: 0.00180152), noise: 0.00430023
RMS: 0.000660724 (valid: 0.00161841), noise: 0.00430023
RMS: 0.000653576 (valid: 0.00177697), noise: 0.00387021
RMS: 0.000649772 (valid: 0.0019992), noise: 0.00387021
RMS: 0.000665179 (valid: 0.00200906), noise: 0.00387021
RMS: 0.000645161 (valid: 0.00167288), noise: 0.00348319
RMS: 0.000631139 (valid: 0.00167934), noise: 0.00348319
RMS: 0.000642842 (valid: 0.00163016), noise: 0.00348319
RMS: 0.000625755 (valid: 0.00165441), noise: 0.00313487
RMS: 0.000627603 (valid: 0.00160483), noise: 0.00313487
RMS: 0.00061205 (valid: 0.00167673), noise: 0.00282138
RMS: 0.000591427 (valid: 0.00175131), noise: 0.00282138
RMS: 0.000594647 (valid: 0.00175787), noise: 0.00282138
RMS: 0.000577381 (valid: 0.00181923), noise: 0.00253924
RMS: 0.000583305 (valid: 0.00185212), noise: 0.00253924
RMS: 0.000575578 (valid: 0.00181701), noise: 0.00228532
RMS: 0.000563166 (valid: 0.00176174), noise: 0.00228532
RMS: 0.000561077 (valid: 0.00183598), noise: 0.00228532
RMS: 0.000551896 (valid: 0.00173262), noise: 0.00228532
RMS: 0.000549855 (valid: 0.00163251), noise: 0.00228532
RMS: 0.000541854 (valid: 0.00158006), noise: 0.00228532
RMS: 0.00054382 (valid: 0.00163806), noise: 0.00228532
RMS: 0.000535539 (valid: 0.00175124), noise: 0.00205679
RMS: 0.000527392 (valid: 0.00164013), noise: 0.00205679
RMS: 0.000523056 (valid: 0.00174655), noise: 0.00205679
RMS: 0.0005138 (valid: 0.00163051), noise: 0.00205679
RMS: 0.000504407 (valid: 0.00165726), noise: 0.00205679
RMS: 0.000498358 (valid: 0.00170301), noise: 0.00205679
RMS: 0.000493361 (valid: 0.00176637), noise: 0.00205679
RMS: 0.000491236 (valid: 0.00170955), noise: 0.00205679
RMS: 0.000489123 (valid: 0.00156487), noise: 0.00205679
RMS: 0.000489405 (valid: 0.00168682), noise: 0.00205679
RMS: 0.000474061 (valid: 0.00167023), noise: 0.00185111
RMS: 0.000474761 (valid: 0.00170176), noise: 0.00185111
RMS: 0.00046525 (valid: 0.00173756), noise: 0.001666
RMS: 0.000465255 (valid: 0.00167668), noise: 0.001666
RMS: 0.000458134 (valid: 0.00168295), noise: 0.0014994
RMS: 0.000454519 (valid: 0.00166713), noise: 0.0014994
RMS: 0.000454034 (valid: 0.0016803), noise: 0.0014994
RMS: 0.00045587 (valid: 0.00165569), noise: 0.0014994
RMS: 0.000450224 (valid: 0.00157186), noise: 0.00134946
RMS: 0.000446743 (valid: 0.00174502), noise: 0.00134946
RMS: 0.000445078 (valid: 0.00178999), noise: 0.00134946
RMS: 0.000436942 (valid: 0.00172787), noise: 0.00134946
RMS: 0.000434436 (valid: 0.00172573), noise: 0.00134946
RMS: 0.000434603 (valid: 0.00162755), noise: 0.00134946
RMS: 0.000430406 (valid: 0.0016183), noise: 0.00121451
RMS: 0.0004272 (valid: 0.00168515), noise: 0.00121451
RMS: 0.000428708 (valid: 0.0017462), noise: 0.00121451
RMS: 0.000425468 (valid: 0.00170274), noise: 0.00109306
RMS: 0.000419932 (valid: 0.00179494), noise: 0.00109306
RMS: 0.000418741 (valid: 0.0017565), noise: 0.00109306
RMS: 0.000416074 (valid: 0.00176177), noise: 0.00109306
RMS: 0.000416165 (valid: 0.00172374), noise: 0.00109306
RMS: 0.00041239 (valid: 0.00171895), noise: 0.000983756
RMS: 0.000409698 (valid: 0.0017077), noise: 0.000983756
RMS: 0.000406411 (valid: 0.0016912), noise: 0.000983756
RMS: 0.000404603 (valid: 0.00168601), noise: 0.000983756
RMS: 0.000401015 (valid: 0.00172398), noise: 0.000983756
RMS: 0.000400077 (valid: 0.00174689), noise: 0.000983756
RMS: 0.000397132 (valid: 0.00171671), noise: 0.000983756
RMS: 0.000393678 (valid: 0.00174289), noise: 0.000983756
RMS: 0.000391249 (valid: 0.00178547), noise: 0.000983756
RMS: 0.000390054 (valid: 0.00177434), noise: 0.000983756
RMS: 0.000389125 (valid: 0.00181305), noise: 0.000983756
RMS: 0.000389459 (valid: 0.00178404), noise: 0.000983756
RMS: 0.000386364 (valid: 0.00176531), noise: 0.00088538
RMS: 0.000385415 (valid: 0.00171186), noise: 0.00088538
RMS: 0.000385034 (valid: 0.0017364), noise: 0.00088538
RMS: 0.000383347 (valid: 0.0016804), noise: 0.00088538
RMS: 0.00038343 (valid: 0.00174867), noise: 0.00088538
RMS: 0.000379384 (valid: 0.00173741), noise: 0.000796842
RMS: 0.000378337 (valid: 0.00170362), noise: 0.000796842
RMS: 0.000375493 (valid: 0.00169359), noise: 0.000796842
RMS: 0.000373399 (valid: 0.00171203), noise: 0.000796842
RMS: 0.000371676 (valid: 0.00172627), noise: 0.000796842
RMS: 0.000371213 (valid: 0.00168874), noise: 0.000796842
RMS: 0.000368315 (valid: 0.00169902), noise: 0.000796842
RMS: 0.000365292 (valid: 0.00170933), noise: 0.000796842
RMS: 0.000364208 (valid: 0.00166761), noise: 0.000796842
RMS: 0.000361902 (valid: 0.00167711), noise: 0.000796842
RMS: 0.000360704 (valid: 0.00164822), noise: 0.000796842
RMS: 0.000361782 (valid: 0.00165018), noise: 0.000796842
RMS: 0.000360294 (valid: 0.00166882), noise: 0.000717158
RMS: 0.000360221 (valid: 0.00169895), noise: 0.000717158
RMS: 0.000360029 (valid: 0.00172281), noise: 0.000717158
RMS: 0.000358773 (valid: 0.00168077), noise: 0.000717158
RMS: 0.000358255 (valid: 0.0016757), noise: 0.000717158
RMS: 0.000356234 (valid: 0.00166879), noise: 0.000717158
RMS: 0.000355181 (valid: 0.00169418), noise: 0.000717158
RMS: 0.000355121 (valid: 0.00166997), noise: 0.000717158
RMS: 0.000354857 (valid: 0.00165289), noise: 0.000717158
RMS: 0.000354193 (valid: 0.00167848), noise: 0.000717158
RMS: 0.000353665 (valid: 0.00167518), noise: 0.000717158
RMS: 0.000352544 (valid: 0.00171629), noise: 0.000717158
RMS: 0.000352512 (valid: 0.00163476), noise: 0.000717158
RMS: 0.000352894 (valid: 0.00165365), noise: 0.000717158
RMS: 0.000350783 (valid: 0.00163982), noise: 0.000645442
RMS: 0.000349367 (valid: 0.00162891), noise: 0.000645442
RMS: 0.00034898 (valid: 0.00161943), noise: 0.000645442
RMS: 0.000347505 (valid: 0.00159266), noise: 0.000645442
RMS: 0.000345441 (valid: 0.00158742), noise: 0.000645442
RMS: 0.000344104 (valid: 0.00160813), noise: 0.000645442
RMS: 0.000343988 (valid: 0.00154774), noise: 0.000645442
RMS: 0.000343533 (valid: 0.00156758), noise: 0.000645442
RMS: 0.00034318 (valid: 0.00156), noise: 0.000645442
RMS: 0.00034278 (valid: 0.00151961), noise: 0.000645442
RMS: 0.000342249 (valid: 0.00153927), noise: 0.000645442
RMS: 0.00034239 (valid: 0.00156983), noise: 0.000645442
RMS: 0.000341853 (valid: 0.00156143), noise: 0.000580898
RMS: 0.000343179 (valid: 0.00157976), noise: 0.000580898
RMS: 0.000342208 (valid: 0.00160859), noise: 0.000522808
RMS: 0.000341701 (valid: 0.00162118), noise: 0.000522808
RMS: 0.000343165 (valid: 0.00162466), noise: 0.000522808
RMS: 0.000342228 (valid: 0.00161715), noise: 0.000470527
RMS: 0.000340642 (valid: 0.00164959), noise: 0.000470527
RMS: 0.000341237 (valid: 0.00159319), noise: 0.000470527
RMS: 0.000340662 (valid: 0.00157263), noise: 0.000423474
RMS: 0.000339639 (valid: 0.00159554), noise: 0.000423474
RMS: 0.0003382 (valid: 0.00160782), noise: 0.000423474
RMS: 0.000338319 (valid: 0.00164557), noise: 0.000423474
RMS: 0.000337493 (valid: 0.00166198), noise: 0.000381127
RMS: 0.000337973 (valid: 0.00164768), noise: 0.000381127
RMS: 0.000337808 (valid: 0.00161768), noise: 0.000343014
RMS: 0.000337813 (valid: 0.00164173), noise: 0.000343014
RMS: 0.000336644 (valid: 0.00163333), noise: 0.000308713
RMS: 0.000335714 (valid: 0.00163296), noise: 0.000308713
RMS: 0.000334929 (valid: 0.00162088), noise: 0.000308713
RMS: 0.000334635 (valid: 0.00161212), noise: 0.000308713
RMS: 0.000334043 (valid: 0.00160919), noise: 0.000308713
RMS: 0.000333068 (valid: 0.0016277), noise: 0.000308713
RMS: 0.000333195 (valid: 0.00164217), noise: 0.000308713
RMS: 0.000332427 (valid: 0.00163347), noise: 0.000277842
RMS: 0.000331936 (valid: 0.00163371), noise: 0.000277842
RMS: 0.000332094 (valid: 0.00162492), noise: 0.000277842
RMS: 0.000331121 (valid: 0.00161331), noise: 0.000250057
RMS: 0.000331111 (valid: 0.00162261), noise: 0.000250057
RMS: 0.000329993 (valid: 0.00162138), noise: 0.000225052
RMS: 0.000329564 (valid: 0.00160392), noise: 0.000225052
RMS: 0.000329021 (valid: 0.00160308), noise: 0.000225052
RMS: 0.000328406 (valid: 0.00160729), noise: 0.000225052
RMS: 0.000327768 (valid: 0.00159295), noise: 0.000225052
RMS: 0.000327321 (valid: 0.00158696), noise: 0.000225052
RMS: 0.000327123 (valid: 0.00160435), noise: 0.000225052
RMS: 0.00032673 (valid: 0.00158662), noise: 0.000225052
RMS: 0.000326106 (valid: 0.00158352), noise: 0.000225052
RMS: 0.000325235 (valid: 0.00156676), noise: 0.000225052
RMS: 0.0003249 (valid: 0.00156372), noise: 0.000225052
RMS: 0.000324468 (valid: 0.00157188), noise: 0.000225052
RMS: 0.000323924 (valid: 0.00156636), noise: 0.000225052
RMS: 0.000323925 (valid: 0.00157037), noise: 0.000225052
RMS: 0.000323397 (valid: 0.00158876), noise: 0.000202547
RMS: 0.000323161 (valid: 0.00157745), noise: 0.000202547
RMS: 0.000322568 (valid: 0.00156873), noise: 0.000202547
RMS: 0.000322131 (valid: 0.00156772), noise: 0.000202547
RMS: 0.000321688 (valid: 0.00157636), noise: 0.000202547
RMS: 0.000321114 (valid: 0.00156229), noise: 0.000202547
RMS: 0.000320981 (valid: 0.00156328), noise: 0.000202547
RMS: 0.000320628 (valid: 0.00156748), noise: 0.000202547
RMS: 0.000319994 (valid: 0.00155195), noise: 0.000202547
RMS: 0.000319882 (valid: 0.00155579), noise: 0.000202547
RMS: 0.000319297 (valid: 0.0015614), noise: 0.000202547
RMS: 0.000318895 (valid: 0.00156549), noise: 0.000202547
RMS: 0.000318284 (valid: 0.00156975), noise: 0.000202547
RMS: 0.000317959 (valid: 0.00155796), noise: 0.000202547
RMS: 0.0003176 (valid: 0.00155458), noise: 0.000202547
RMS: 0.000317413 (valid: 0.00155766), noise: 0.000202547
RMS: 0.000316994 (valid: 0.00156124), noise: 0.000202547
RMS: 0.00031664 (valid: 0.00156494), noise: 0.000202547
RMS: 0.000316619 (valid: 0.00154396), noise: 0.000202547
RMS: 0.00031643 (valid: 0.00154991), noise: 0.000202547
RMS: 0.000316068 (valid: 0.00155262), noise: 0.000202547
RMS: 0.000315298 (valid: 0.00154603), noise: 0.000202547
RMS: 0.000315071 (valid: 0.00156205), noise: 0.000202547
RMS: 0.000314608 (valid: 0.00157463), noise: 0.000202547
